k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%),
4,0.500,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.500,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.500,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
4,0.500,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
4,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
4,0.500,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
4,0.500,Dg,16-23,9,21,0,30,30.000,30.000,
4,0.500,Dg,23-5,29,1,0,30,96.667,96.667,
4,0.500,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
4,0.500,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
4,0.500,White Crowned Sparrow,16-23,6,9,0,15,40.000,40.000,
4,0.500,White Crowned Sparrow,23-5,5,10,0,15,33.333,33.333,
4,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.500,Eared Grebe,23-5,4,0,0,4,100.000,100.000,
4,0.500,cougar,16-23,0,1,0,1,0.000,0.000,
4,0.500,cougar,23-5,0,1,0,1,0.000,0.000,
4,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN,
4,0.500,Ocean Water,23-5,0,10,0,10,0.000,0.000,
4,0.500,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
4,0.500,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
4,0.500,Dog,16-23,77,61,0,138,55.797,55.797,
4,0.500,Dog,23-5,123,66,0,189,65.079,65.079,
4,0.500,Human,16-23,1709,167,0,1876,91.098,91.098,
4,0.500,Human,23-5,2163,164,0,2327,92.952,92.952,
4,0.500,Wild Turkey,16-23,11,35,0,46,23.913,23.913,
4,0.500,Wild Turkey,23-5,6,33,0,39,15.385,15.385,
4,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.500,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
4,0.500,Seagull,16-23,0,0,0,0,NaN,NaN,
4,0.500,Seagull,23-5,23,44,0,67,34.328,34.328,
4,0.500,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
4,0.500,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
4,0.500,Pigeon,16-23,94,146,0,240,39.167,39.167,
4,0.500,Pigeon,23-5,120,171,0,291,41.237,41.237,
4,0.500,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
4,0.500,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000,
4,0.500,Cat,16-23,28,25,0,53,52.830,52.830,
4,0.500,Cat,23-5,29,34,0,63,46.032,46.032,
4,0.500,Horse,16-23,16,30,0,46,34.783,34.783,
4,0.500,Horse,23-5,40,47,0,87,45.977,45.977,
4,0.500,orangutan,16-23,0,1,0,1,0.000,0.000,
4,0.500,orangutan,23-5,0,1,0,1,0.000,0.000,
4,0.500,Bat,16-23,36,1,0,37,97.297,97.297,
4,0.500,Bat,23-5,37,1,0,38,97.368,97.368,
4,0.500,Deer,16-23,15,6,0,21,71.429,71.429,
4,0.500,Deer,23-5,17,5,0,22,77.273,77.273,
4,0.500,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
4,0.500,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
4,0.500,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
4,0.500,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
4,0.500,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
4,0.500,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
4,0.500,Human UTI,16-23,82,57,0,139,58.993,58.993,
4,0.500,Human UTI,23-5,112,29,0,141,79.433,79.433,
4,0.500,unknown,16-23,0,11,0,11,0.000,0.000,
4,0.500,unknown,23-5,2,9,0,11,18.182,18.182,
4,0.500,SLO Creek Water,16-23,0,876,0,876,0.000,0.000,
4,0.500,SLO Creek Water,23-5,0,1332,0,1332,0.000,0.000,
4,0.500,Pig/Swine,16-23,13,13,0,26,50.000,50.000,
4,0.500,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
4,0.500,Klebsiella,16-23,0,0,0,0,NaN,NaN,
4,0.500,Klebsiella,23-5,0,0,0,0,NaN,NaN,
4,0.500,Hu Cw and Dg,16-23,12,18,0,30,40.000,40.000,
4,0.500,Hu Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.500,Ground Squirrel,16-23,113,61,0,174,64.943,64.943,
4,0.500,Ground Squirrel,23-5,98,79,0,177,55.367,55.367,
4,0.500,Opossum,16-23,0,6,0,6,0.000,0.000,
4,0.500,Opossum,23-5,0,6,0,6,0.000,0.000,
4,0.500,Cow,16-23,1502,287,0,1789,83.958,83.958,
4,0.500,Cow,23-5,1466,313,0,1779,82.406,82.406,
4,0.500,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
4,0.500,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
4,0.500,OVERALL,16-23,3903,2445,0,6348,61.484,61.484,
4,0.500,OVERALL,23-5,4500,3110,0,7610,59.133,59.133,
4,0.900,Chicken,16-23,5,35,0,40,12.500,12.500,
4,0.900,Chicken,23-5,17,25,0,42,40.476,40.476,
4,0.900,Sea Lion,16-23,0,2,0,2,0.000,0.000,
4,0.900,Sea Lion,23-5,4,0,0,4,100.000,100.000,
4,0.900,Hu and Cw,16-23,14,16,0,30,46.667,46.667,
4,0.900,Hu and Cw,23-5,15,15,0,30,50.000,50.000,
4,0.900,Sheep,16-23,66,38,0,104,63.462,63.462,
4,0.900,Sheep,23-5,70,28,0,98,71.429,71.429,
4,0.900,Hu and Dg,16-23,17,15,0,32,53.125,53.125,
4,0.900,Hu and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.900,Common Loon,16-23,0,2,0,2,0.000,0.000,
4,0.900,Common Loon,23-5,0,2,0,2,0.000,0.000,
4,0.900,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.900,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.900,Cw,16-23,16,14,0,30,53.333,53.333,
4,0.900,Cw,23-5,22,8,0,30,73.333,73.333,
4,0.900,Cliff Sparrow,16-23,10,18,0,28,35.714,35.714,
4,0.900,Cliff Sparrow,23-5,1,28,0,29,3.448,3.448,
4,0.900,Pig,16-23,19,18,0,37,51.351,51.351,
4,0.900,Pig,23-5,9,25,0,34,26.471,26.471,
4,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN,
4,0.900,Barn Owl,23-5,0,2,0,2,0.000,0.000,
4,0.900,Wild Pig,16-23,5,12,0,17,29.412,29.412,
4,0.900,Wild Pig,23-5,4,6,0,10,40.000,40.000,
4,0.900,Pennington Creek Water,16-23,0,344,1,345,0.000,0.000,
4,0.900,Pennington Creek Water,23-5,0,461,4,465,0.000,0.000,
4,0.900,Guinni,16-23,0,0,0,0,NaN,NaN,
4,0.900,Guinni,23-5,0,2,0,2,0.000,0.000,
4,0.900,Racoon,16-23,0,2,0,2,0.000,0.000,
4,0.900,Racoon,23-5,0,3,0,3,0.000,0.000,
4,0.900,Hu,16-23,20,9,0,29,68.966,68.966,
4,0.900,Hu,23-5,20,11,0,31,64.516,64.516,
4,0.900,Cw and Dg,16-23,8,22,0,30,26.667,26.667,
4,0.900,Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.900,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.900,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.900,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
4,0.900,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
4,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
4,0.900,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
4,0.900,Dg,16-23,9,21,0,30,30.000,30.000,
4,0.900,Dg,23-5,29,1,0,30,96.667,96.667,
4,0.900,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
4,0.900,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
4,0.900,White Crowned Sparrow,16-23,6,9,0,15,40.000,40.000,
4,0.900,White Crowned Sparrow,23-5,5,10,0,15,33.333,33.333,
4,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.900,Eared Grebe,23-5,4,0,0,4,100.000,100.000,
4,0.900,cougar,16-23,0,1,0,1,0.000,0.000,
4,0.900,cougar,23-5,0,1,0,1,0.000,0.000,
4,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN,
4,0.900,Ocean Water,23-5,0,10,0,10,0.000,0.000,
4,0.900,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
4,0.900,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
4,0.900,Dog,16-23,77,61,0,138,55.797,55.797,
4,0.900,Dog,23-5,123,66,0,189,65.079,65.079,
4,0.900,Human,16-23,1709,167,0,1876,91.098,91.098,
4,0.900,Human,23-5,2163,164,0,2327,92.952,92.952,
4,0.900,Wild Turkey,16-23,11,35,0,46,23.913,23.913,
4,0.900,Wild Turkey,23-5,6,33,0,39,15.385,15.385,
4,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.900,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
4,0.900,Seagull,16-23,0,0,0,0,NaN,NaN,
4,0.900,Seagull,23-5,23,44,0,67,34.328,34.328,
4,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
4,0.900,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
4,0.900,Pigeon,16-23,94,146,0,240,39.167,39.167,
4,0.900,Pigeon,23-5,120,171,0,291,41.237,41.237,
4,0.900,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
4,0.900,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000,
4,0.900,Cat,16-23,28,25,0,53,52.830,52.830,
4,0.900,Cat,23-5,29,34,0,63,46.032,46.032,
4,0.900,Horse,16-23,16,30,0,46,34.783,34.783,
4,0.900,Horse,23-5,40,47,0,87,45.977,45.977,
4,0.900,orangutan,16-23,0,1,0,1,0.000,0.000,
4,0.900,orangutan,23-5,0,1,0,1,0.000,0.000,
4,0.900,Bat,16-23,36,1,0,37,97.297,97.297,
4,0.900,Bat,23-5,37,1,0,38,97.368,97.368,
4,0.900,Deer,16-23,15,6,0,21,71.429,71.429,
4,0.900,Deer,23-5,17,5,0,22,77.273,77.273,
4,0.900,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
4,0.900,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
4,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
4,0.900,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
4,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
4,0.900,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
4,0.900,Human UTI,16-23,82,57,0,139,58.993,58.993,
4,0.900,Human UTI,23-5,112,29,0,141,79.433,79.433,
4,0.900,unknown,16-23,0,11,0,11,0.000,0.000,
4,0.900,unknown,23-5,2,9,0,11,18.182,18.182,
4,0.900,SLO Creek Water,16-23,0,873,3,876,0.000,0.000,
4,0.900,SLO Creek Water,23-5,0,1328,4,1332,0.000,0.000,
4,0.900,Pig/Swine,16-23,13,13,0,26,50.000,50.000,
4,0.900,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
4,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN,
4,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN,
4,0.900,Hu Cw and Dg,16-23,12,18,0,30,40.000,40.000,
4,0.900,Hu Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.900,Ground Squirrel,16-23,113,61,0,174,64.943,64.943,
4,0.900,Ground Squirrel,23-5,98,79,0,177,55.367,55.367,
4,0.900,Opossum,16-23,0,6,0,6,0.000,0.000,
4,0.900,Opossum,23-5,0,6,0,6,0.000,0.000,
4,0.900,Cow,16-23,1502,287,0,1789,83.958,83.958,
4,0.900,Cow,23-5,1466,313,0,1779,82.406,82.406,
4,0.900,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
4,0.900,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
4,0.900,OVERALL,16-23,3903,2441,4,6348,61.523,61.484,
4,0.900,OVERALL,23-5,4500,3102,8,7610,59.195,59.133,
4,0.950,Chicken,16-23,5,35,0,40,12.500,12.500,
4,0.950,Chicken,23-5,17,25,0,42,40.476,40.476,
4,0.950,Sea Lion,16-23,0,2,0,2,0.000,0.000,
4,0.950,Sea Lion,23-5,4,0,0,4,100.000,100.000,
4,0.950,Hu and Cw,16-23,14,16,0,30,46.667,46.667,
4,0.950,Hu and Cw,23-5,15,15,0,30,50.000,50.000,
4,0.950,Sheep,16-23,66,38,0,104,63.462,63.462,
4,0.950,Sheep,23-5,70,27,1,98,72.165,71.429,
4,0.950,Hu and Dg,16-23,17,15,0,32,53.125,53.125,
4,0.950,Hu and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.950,Common Loon,16-23,0,2,0,2,0.000,0.000,
4,0.950,Common Loon,23-5,0,2,0,2,0.000,0.000,
4,0.950,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.950,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.950,Cw,16-23,16,14,0,30,53.333,53.333,
4,0.950,Cw,23-5,22,8,0,30,73.333,73.333,
4,0.950,Cliff Sparrow,16-23,10,18,0,28,35.714,35.714,
4,0.950,Cliff Sparrow,23-5,1,28,0,29,3.448,3.448,
4,0.950,Pig,16-23,19,18,0,37,51.351,51.351,
4,0.950,Pig,23-5,9,25,0,34,26.471,26.471,
4,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN,
4,0.950,Barn Owl,23-5,0,2,0,2,0.000,0.000,
4,0.950,Wild Pig,16-23,5,12,0,17,29.412,29.412,
4,0.950,Wild Pig,23-5,4,6,0,10,40.000,40.000,
4,0.950,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000,
4,0.950,Pennington Creek Water,23-5,0,454,11,465,0.000,0.000,
4,0.950,Guinni,16-23,0,0,0,0,NaN,NaN,
4,0.950,Guinni,23-5,0,2,0,2,0.000,0.000,
4,0.950,Racoon,16-23,0,2,0,2,0.000,0.000,
4,0.950,Racoon,23-5,0,3,0,3,0.000,0.000,
4,0.950,Hu,16-23,20,9,0,29,68.966,68.966,
4,0.950,Hu,23-5,20,11,0,31,64.516,64.516,
4,0.950,Cw and Dg,16-23,8,22,0,30,26.667,26.667,
4,0.950,Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.950,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.950,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.950,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
4,0.950,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
4,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
4,0.950,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
4,0.950,Dg,16-23,9,21,0,30,30.000,30.000,
4,0.950,Dg,23-5,29,1,0,30,96.667,96.667,
4,0.950,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
4,0.950,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
4,0.950,White Crowned Sparrow,16-23,6,9,0,15,40.000,40.000,
4,0.950,White Crowned Sparrow,23-5,5,10,0,15,33.333,33.333,
4,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.950,Eared Grebe,23-5,4,0,0,4,100.000,100.000,
4,0.950,cougar,16-23,0,1,0,1,0.000,0.000,
4,0.950,cougar,23-5,0,1,0,1,0.000,0.000,
4,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN,
4,0.950,Ocean Water,23-5,0,10,0,10,0.000,0.000,
4,0.950,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
4,0.950,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
4,0.950,Dog,16-23,77,61,0,138,55.797,55.797,
4,0.950,Dog,23-5,123,66,0,189,65.079,65.079,
4,0.950,Human,16-23,1709,167,0,1876,91.098,91.098,
4,0.950,Human,23-5,2163,162,2,2327,93.032,92.952,
4,0.950,Wild Turkey,16-23,11,35,0,46,23.913,23.913,
4,0.950,Wild Turkey,23-5,6,33,0,39,15.385,15.385,
4,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.950,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
4,0.950,Seagull,16-23,0,0,0,0,NaN,NaN,
4,0.950,Seagull,23-5,23,44,0,67,34.328,34.328,
4,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
4,0.950,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
4,0.950,Pigeon,16-23,94,146,0,240,39.167,39.167,
4,0.950,Pigeon,23-5,120,170,1,291,41.379,41.237,
4,0.950,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
4,0.950,Pacific Ocean Water,23-5,0,49,1,50,0.000,0.000,
4,0.950,Cat,16-23,28,25,0,53,52.830,52.830,
4,0.950,Cat,23-5,29,34,0,63,46.032,46.032,
4,0.950,Horse,16-23,16,30,0,46,34.783,34.783,
4,0.950,Horse,23-5,40,47,0,87,45.977,45.977,
4,0.950,orangutan,16-23,0,1,0,1,0.000,0.000,
4,0.950,orangutan,23-5,0,1,0,1,0.000,0.000,
4,0.950,Bat,16-23,36,1,0,37,97.297,97.297,
4,0.950,Bat,23-5,37,1,0,38,97.368,97.368,
4,0.950,Deer,16-23,15,6,0,21,71.429,71.429,
4,0.950,Deer,23-5,17,5,0,22,77.273,77.273,
4,0.950,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
4,0.950,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
4,0.950,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
4,0.950,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
4,0.950,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
4,0.950,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
4,0.950,Human UTI,16-23,82,57,0,139,58.993,58.993,
4,0.950,Human UTI,23-5,111,29,1,141,79.286,78.723,
4,0.950,unknown,16-23,0,11,0,11,0.000,0.000,
4,0.950,unknown,23-5,2,9,0,11,18.182,18.182,
4,0.950,SLO Creek Water,16-23,0,860,16,876,0.000,0.000,
4,0.950,SLO Creek Water,23-5,0,1328,4,1332,0.000,0.000,
4,0.950,Pig/Swine,16-23,13,13,0,26,50.000,50.000,
4,0.950,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
4,0.950,Klebsiella,16-23,0,0,0,0,NaN,NaN,
4,0.950,Klebsiella,23-5,0,0,0,0,NaN,NaN,
4,0.950,Hu Cw and Dg,16-23,12,18,0,30,40.000,40.000,
4,0.950,Hu Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.950,Ground Squirrel,16-23,113,60,1,174,65.318,64.943,
4,0.950,Ground Squirrel,23-5,98,79,0,177,55.367,55.367,
4,0.950,Opossum,16-23,0,6,0,6,0.000,0.000,
4,0.950,Opossum,23-5,0,6,0,6,0.000,0.000,
4,0.950,Cow,16-23,1503,286,0,1789,84.013,84.013,
4,0.950,Cow,23-5,1465,313,1,1779,82.396,82.350,
4,0.950,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
4,0.950,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
4,0.950,OVERALL,16-23,3904,2423,21,6348,61.704,61.500,
4,0.950,OVERALL,23-5,4498,3090,22,7610,59.278,59.106,
4,0.960,Chicken,16-23,5,35,0,40,12.500,12.500,
4,0.960,Chicken,23-5,17,25,0,42,40.476,40.476,
4,0.960,Sea Lion,16-23,0,2,0,2,0.000,0.000,
4,0.960,Sea Lion,23-5,4,0,0,4,100.000,100.000,
4,0.960,Hu and Cw,16-23,14,16,0,30,46.667,46.667,
4,0.960,Hu and Cw,23-5,15,15,0,30,50.000,50.000,
4,0.960,Sheep,16-23,66,38,0,104,63.462,63.462,
4,0.960,Sheep,23-5,70,27,1,98,72.165,71.429,
4,0.960,Hu and Dg,16-23,17,15,0,32,53.125,53.125,
4,0.960,Hu and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.960,Common Loon,16-23,0,2,0,2,0.000,0.000,
4,0.960,Common Loon,23-5,0,2,0,2,0.000,0.000,
4,0.960,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.960,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.960,Cw,16-23,16,14,0,30,53.333,53.333,
4,0.960,Cw,23-5,22,8,0,30,73.333,73.333,
4,0.960,Cliff Sparrow,16-23,10,18,0,28,35.714,35.714,
4,0.960,Cliff Sparrow,23-5,1,28,0,29,3.448,3.448,
4,0.960,Pig,16-23,19,18,0,37,51.351,51.351,
4,0.960,Pig,23-5,9,25,0,34,26.471,26.471,
4,0.960,Barn Owl,16-23,0,0,0,0,NaN,NaN,
4,0.960,Barn Owl,23-5,0,2,0,2,0.000,0.000,
4,0.960,Wild Pig,16-23,5,12,0,17,29.412,29.412,
4,0.960,Wild Pig,23-5,4,6,0,10,40.000,40.000,
4,0.960,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000,
4,0.960,Pennington Creek Water,23-5,0,445,20,465,0.000,0.000,
4,0.960,Guinni,16-23,0,0,0,0,NaN,NaN,
4,0.960,Guinni,23-5,0,2,0,2,0.000,0.000,
4,0.960,Racoon,16-23,0,2,0,2,0.000,0.000,
4,0.960,Racoon,23-5,0,3,0,3,0.000,0.000,
4,0.960,Hu,16-23,20,9,0,29,68.966,68.966,
4,0.960,Hu,23-5,20,11,0,31,64.516,64.516,
4,0.960,Cw and Dg,16-23,8,22,0,30,26.667,26.667,
4,0.960,Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.960,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
4,0.960,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
4,0.960,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
4,0.960,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
4,0.960,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
4,0.960,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
4,0.960,Dg,16-23,9,21,0,30,30.000,30.000,
4,0.960,Dg,23-5,29,1,0,30,96.667,96.667,
4,0.960,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
4,0.960,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
4,0.960,White Crowned Sparrow,16-23,6,9,0,15,40.000,40.000,
4,0.960,White Crowned Sparrow,23-5,5,10,0,15,33.333,33.333,
4,0.960,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.960,Eared Grebe,23-5,4,0,0,4,100.000,100.000,
4,0.960,cougar,16-23,0,1,0,1,0.000,0.000,
4,0.960,cougar,23-5,0,1,0,1,0.000,0.000,
4,0.960,Ocean Water,16-23,0,0,0,0,NaN,NaN,
4,0.960,Ocean Water,23-5,0,10,0,10,0.000,0.000,
4,0.960,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
4,0.960,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
4,0.960,Dog,16-23,77,61,0,138,55.797,55.797,
4,0.960,Dog,23-5,123,66,0,189,65.079,65.079,
4,0.960,Human,16-23,1709,166,1,1876,91.147,91.098,
4,0.960,Human,23-5,2169,155,3,2327,93.330,93.210,
4,0.960,Wild Turkey,16-23,11,35,0,46,23.913,23.913,
4,0.960,Wild Turkey,23-5,6,33,0,39,15.385,15.385,
4,0.960,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
4,0.960,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
4,0.960,Seagull,16-23,0,0,0,0,NaN,NaN,
4,0.960,Seagull,23-5,23,44,0,67,34.328,34.328,
4,0.960,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
4,0.960,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
4,0.960,Pigeon,16-23,94,146,0,240,39.167,39.167,
4,0.960,Pigeon,23-5,121,168,2,291,41.869,41.581,
4,0.960,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
4,0.960,Pacific Ocean Water,23-5,0,49,1,50,0.000,0.000,
4,0.960,Cat,16-23,28,25,0,53,52.830,52.830,
4,0.960,Cat,23-5,29,34,0,63,46.032,46.032,
4,0.960,Horse,16-23,16,30,0,46,34.783,34.783,
4,0.960,Horse,23-5,40,47,0,87,45.977,45.977,
4,0.960,orangutan,16-23,0,1,0,1,0.000,0.000,
4,0.960,orangutan,23-5,0,1,0,1,0.000,0.000,
4,0.960,Bat,16-23,36,1,0,37,97.297,97.297,
4,0.960,Bat,23-5,37,1,0,38,97.368,97.368,
4,0.960,Deer,16-23,15,6,0,21,71.429,71.429,
4,0.960,Deer,23-5,17,5,0,22,77.273,77.273,
4,0.960,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
4,0.960,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
4,0.960,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
4,0.960,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
4,0.960,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
4,0.960,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
4,0.960,Human UTI,16-23,82,57,0,139,58.993,58.993,
4,0.960,Human UTI,23-5,111,29,1,141,79.286,78.723,
4,0.960,unknown,16-23,0,11,0,11,0.000,0.000,
4,0.960,unknown,23-5,2,9,0,11,18.182,18.182,
4,0.960,SLO Creek Water,16-23,0,852,24,876,0.000,0.000,
4,0.960,SLO Creek Water,23-5,0,1328,4,1332,0.000,0.000,
4,0.960,Pig/Swine,16-23,13,13,0,26,50.000,50.000,
4,0.960,Pig/Swine,23-5,13,12,0,25,52.000,52.000,
4,0.960,Klebsiella,16-23,0,0,0,0,NaN,NaN,
4,0.960,Klebsiella,23-5,0,0,0,0,NaN,NaN,
4,0.960,Hu Cw and Dg,16-23,12,18,0,30,40.000,40.000,
4,0.960,Hu Cw and Dg,23-5,17,13,0,30,56.667,56.667,
4,0.960,Ground Squirrel,16-23,113,60,1,174,65.318,64.943,
4,0.960,Ground Squirrel,23-5,98,79,0,177,55.367,55.367,
4,0.960,Opossum,16-23,0,6,0,6,0.000,0.000,
4,0.960,Opossum,23-5,0,6,0,6,0.000,0.000,
4,0.960,Cow,16-23,1501,286,2,1789,83.996,83.902,
4,0.960,Cow,23-5,1465,313,1,1779,82.396,82.350,
4,0.960,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
4,0.960,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
4,0.960,OVERALL,16-23,3902,2414,32,6348,61.780,61.468,
4,0.960,OVERALL,23-5,4505,3072,33,7610,59.456,59.198,
4,0.970,Chicken,16-23,5,35,0,40,12.500,12.500,
4,0.970,Chicken,23-5,17,25,0,42,40.476,40.476,
4,0.970,Sea Lion,16-23,0,2,0,2,0.000,0.000,
4,0.970,Sea Lion,23-5,4,0,0,4,100.000,100.000,
4,0.970,Hu and Cw,16-23,14,16,0,30,46.667,46.667,
4,0.970,Hu and Cw,23-5,15,15,0,30,50.000,50.000,
4,0.970,Sheep,16-23,66,38,0,104,63.462,63.462,
4,0.970,Sheep,23-5,70,27,1,98,72.165,71.429,
4,0.970,Hu and Dg,16-23,17,15,0,32,53.125,53.125,
4,0.970,Hu and Dg,23-5,17,13,0,30,56.667,56.667,
